Base Distance:,20 cm,

Angle,X axis,Y axis,Z axis,Magnitude,Time,
20 degrees,-15.313,-45.017,-66.467,81.72441707959746,79.70479917526245,
40 degrees,-9.437,-44.124,-66.295,80.19358683835011,87.70755076408386,
60 degrees,-7.122,-46.446,-64.746,79.9999894749993,91.40090441703796,
80 degrees,-2.315,-45.91,-68.362,82.37991483972291,94.46187162399292,
100 degrees,4.451,-45.195,-78.693,90.85696272163186,97.85054063796997,
120 degrees,4.629,-44.302,-87.131,97.85655831879639,104.23862552642822,
140 degrees,4.095,-43.052,-90.403,100.21450063738281,109.56060767173767,
160 degrees,-3.561,-41.444,-98.84,107.23633459327114,114.32794404029846,
180 degrees,-8.903,-40.015,-100.562,108.59640637700679,118.746506690979,
200 degrees,-14.066,-40.194,-99.012,107.78119565118955,125.1754367351532,
220 degrees,-17.271,-40.551,-96.602,106.18200151626452,129.87270164489746,
240 degrees,-19.408,-40.551,-94.191,104.36952881947873,133.2598123550415,
260 degrees,-25.462,-39.479,-88.681,100.35549135946671,139.17509937286377,
280 degrees,-25.64,-40.372,-85.409,97.88771764118316,146.500417470932,
300 degrees,-27.064,-40.015,-75.766,89.85625786221014,159.59277200698853,
320 degrees,-26.53,-39.836,-74.561,88.6007365488572,162.56035590171814,
340 degrees,-23.681,-41.623,-73.183,87.45864953793878,165.89120411872864,
360 degrees,-21.722,-43.945,-70.256,85.66746082965224,169.8954725265503,
